(Кобылинский Л.Л.) Эллис
(Шполянский А.П.) Дон-Аминадо
dubium
А.К. Толстой
Цетлин М.О. (Амари) | dubium
Червинская Л.Д.
Червинский Ф.А.
Черемнов А.С.
Черемшанова О.Н.
Чернов Ф.И.
Черный С. (Гликберг А.М.)
Чертков Л.Н.
Чехонин М.Г.
Чиннов И.В.
Чулков Г.И.
Чурилин Т.В.
Чюмина О.Н.
Шагинян М.С.
Шаламов В.Т.
Шаликов П.И.
Шамов П.
Шатров Н.М.
Шах Е.В.
Шаховская З.А.
Шведов Я.З.
Швецов С.
Шебуев И.Г.
Шевырев С.П.
Шенгели Г.А.
Шервинский С.В.
Шестаков Д.И.
Шилейко В.К.
Шиллинг Е.М.
Ширинский-Шихматов С.А.
Широков Г.
Широков П.Д.
Ширяевец (Абрамов) А.В.
Шишков А.А.
Шишков А.С.
Шишкова А.С.
Шишов В.И.
Шкапская М.М.
Шкловский В.Б.
Шкляревский П.П.
Шкулев Ф.С.
Шостакович А.В.
Штейгер А.С.
Штейнберг А.А.
Штильман Т.В.
Шумаков Ю.Д.
Шумахер П.В.
Щастный В.Н.
Щепкина-Куперник Т.Л.
Щербина Н.Ф.
Щиглев В.Р.
Щипачев С.П.
Эйхенбаум Б.М.
Эльснер В.Ю.
Эрберг К. (Сюннерберг К.А.)
Эренбург И.Г.
Эртель В. А.
Юрасов С.
Юрин М.П.
Юрков И.В.
Яворский С.
Языков Н. М.
Языков Н.М.
Якобсон Р.О.
Якубович Л.А.
Якубович П.Ф.
Янкович де Мириево И.Ф. 
Ясный А.
Яссен И.
лицеисты
неизвестные
