"","City","lon","lat"
"439","каменец",23.808333,52.402833
"440","филадельфия",-75.163333,39.953056
"441","бангкок",100.516667,13.75
"442","утрехт",5.115556,52.088889
"443","виннипег",-97.12738,49.981254
"444","кохтла-ярве",27.283333,59.4
"445","любляна",14.5,46.05
"446","майами",-80.216667,25.783333
"447","кулебаки",42.516667,55.416667
"448","тайшет",98.016667,55.933333
"449","мытищи",37.733333,55.916667
"450","сакар",63.75,38.833333
"451","красногорск",37.333333,55.816667
"452","балта",29.6225,47.936111
"453","коимбра",-8.45,40.25
"454","кандава",22.776111,57.036389
"455","ванкувер",-123.1073,49.302293
"456","марракеш",-8,31.633333
"457","сараево",18.416667,43.866667
"458","солнечногорск",36.995,56.184444
"459","шенкурск",42.9,62.1
"460","виндзор",-0.6,51.483333
"461","лимож",1.25,45.816667
"462","пронск",39.591944,54.119444
"463","медин",26.145,49.611111
"464","боровск",36.483333,55.2
"465","буффало",-78.849444,42.904722
"466","батурин",32.883333,51.333333
"467","монтевидео",-56.166667,-34.866944
"468","кадников",40.333333,59.5
"469","сан-сальвадор",-89.183333,13.683333
"470","славянск",37.625,48.87
"471","геническ",34.798889,46.176944
"472","гайсин",29.390556,48.809444
"473","дудинка",86.183333,69.4
"474","туруханск",87.962222,65.793056
"475","мурсия",-1.133333,37.983333
"476","каунас",23.933333,54.9
"477","мирина",25.074167,39.879722
"478","поворино",42.25,51.2
"479","усвяты",30.755556,55.748611
"480","петрозаводск",34.35,61.783333
"481","каргополь",38.933333,61.5
"482","хорол",33.258861,49.784031
"483","зеренда",69.153341,52.910101
"484","темрюк",37.383333,45.266667
"485","рыбинск",38.833333,58.05
"486","шартр",1.485833,48.443611
"487","тирасполь",29.643333,46.840278
"488","хороль",132.075,44.425
"489","констанца",28.638333,44.173333
"490","салоники",22.95,40.633333
"491","мосул",43.116667,36.366667
"492","емва",50.85,62.583333
"493","пачелма",43.312778,53.329444
"494","переделкино",37.3325,55.655556
"495","улан-батор",106.916667,47.916667
"496","кунда",26.533333,59.5
"497","печенга",31.226667,69.553889
"498","ярцево",32.683333,55.066667
"499","беломорск",34.766667,64.516667
"500","ржакса",42.023056,52.137222
"501","палех",41.85,56.8
"502","збараж",25.775386,49.664574
"503","бруклин",-73.949722,40.650833
"504","агра",78.033333,27.3
"505","мюнстер",7.633333,51.966667
"506","баня-лука",17.183333,44.766667
"507","анадырь",177.516667,64.733333
"508","самбор",23.196944,49.522222
"509","усолье",56.683333,59.416667
"510","жешув",22,50.05
"511","молодечно",26.851667,54.313611
"512","тель-авив",34.8,32.083333
"513","ургут",67.25,39.4
"514","пярну",24.518611,58.384722
"515","луанда",13.233333,-8.833333
"516","яффа",34.751667,32.054444
"517","магдебург",11.616667,52.133333
"518","нанси",6.166667,48.683333
"519","тернополь",25.6,49.566667
"520","лугано",8.9625,46.010278
"521","альме",9.616667,45.733333
"522","ордубад",46.023056,38.904722
"523","выкса",42.173056,55.319444
"524","козельск",35.783333,54.033333
"525","череповец",37.9,59.116667
"526","краснозаводск",38.229444,56.438056
"527","хунзах",46.75,42.55
"528","осло",10.752778,59.911111
"529","мамадыш",51.4,55.7
"530","базель",7.591111,47.550556
"531","ульм",9.983333,48.4
"532","лепель",28.694444,54.875
"533","северск",84.85,56.6
"534","франкфорт",-84.863056,38.197222
"535","мценск",36.575,53.278333
"536","локарно",8.799722,46.166389
"537","ирпень",30.25,50.516667
"538","аральск",61.666667,46.8
"539","карлсруэ",8.404167,49.013889
"540","петрополис",-43.178889,-22.505
"541","кыштым",60.55,55.7
"542","порт-саид",32.283333,31.25
"543","пудож",36.533333,61.8
"544","черновцы",25.934444,48.290833
"545","кяхта",106.45,50.35
"546","нальчик",43.616667,43.483333
"547","барвиха",37.266667,55.716667
"548","далматово",62.916667,56.266667
"549","тихвин",33.5,59.633333
"550","амурск",136.9,50.216667
"551","ивангород",28.205278,59.375
"552","ртищево",43.783333,52.25
"553","охотск",143.3,59.383333
"554","сольвычегодск",46.916667,61.333333
"555","мариуполь",37.563889,47.130556
"556","кричев",31.713889,53.719444
"557","данков",39.15,53.25
"558","нюрнберг",11.077778,49.452778
"559","мешхед",59.604167,36.306944
"560","люнебург",10.414444,53.2525
"561","пирятин",32.509299,50.240595
"562","торонто",-79.385372,43.648536
"563","керманшах",47.068611,34.316667
